"keys","tr"
,
"tip_os_hopping","Dabdoob klasörünü Windows'tan Linux'a getirebilir (veya tam tersi) ve kullanmaya devam edebilirsiniz, ancak doğru Dabdoob yürütülebilir dosyasını indirmeniz ve oyununuzu en az bir kez güncellemeniz gerekir."
"tip_dual_install","Hem [i]C:DDA[/i] hem de [i]C:BN[/i] aynı anda kurulabilir. Kurulumları tamamen bağımsızdır ve güncellemeleri, modları ve ses paketleri ayrı ayrı yönetilir."
"tip_downgrading","Daha önceki bir sürüme \"yükselterek\" oyun sürümünü düşürebilirsin. Ancak kayıt dosyalarında uyum sorunu yaşanabilir."
"tip_stock_mods","Oyunla birlikte yüklenen modlar Dabdoob tarafından yönetilmez (ikinci kez yüklemelerini engellemek haricinde). Dabdoob sadece [i]/mods[/i] klasörünü yönetir, [i]/data/mods[/i] klasörünü değil."
"tip_mod_multi_install","[i]Ctrl-tıklayarak[/i] ve [i]Shift-tıklayarak[/i] birden fazla modu yükleyip silebilirsin."
"tip_debug_mode","Hata mesajları yardımcı olmuyor mu? [i]Ayarlar[/i] menüsünde hata ayıklama modunu açarak daha ayrıntılı çıkış alabilirsin."
"tip_bug_reporting","Eğer yükleyici ile ilgili daha önce rapor edilmemiş bir sorun bulursan [color=#3b93f7]GitHub üzerinden [url=https://github.com/Hihahahalol/Catapult_Dabdoob/issues][/url][/color] adresine git,belki de sorunu farkeden ilk kişi sensindir! Eğer bir GitHub hesabın varsa bir Ticket açmayı düşün."
"tip_backup_caveat","Oyununda birden fazla dünya varsa kayıt dosyalarının yedeğinin kayıt klasöründe saklandığını unutma. Kayıt yedeği kurtarıldığında, kayıt dosyasındaki tüm veri silinecektir (buna yedeklenmemiş dünyalar da dahil)."
"tip_multi_install","Artık birden fazla sürümü aynı anda yükleyebilir ve sürümler arasında kolayca geçebilirsin. Lakin kayıt dosyaları da sürümler arasında paylaşılır, bu yüzden birbirinden farklı sürümlerde (ör. Kararlı ve deneysel) oynarken kayıt dosyalarının bozulmasına karşı dikkatli ol."
"tip_discord","Geliştiriciyle sohbet etmek ister misin? TLG'nin [color=#3b93f7][url=https://discord.com/invite/zT9sXmZNCK]Discord[/url][/color] kanalında yükleyiciyi tartışmaya özel bir kanal var."
"tip_launcher","[color=#ff3300]Kayıt dosyalarını kaybetme![/color] Yükleyici kayıt dosyalarını oyun güncellenirken kaybolmamaları için ayrı olarak saklar. Oyunu yükleyiciyi kullanarak çalıştırdığından emin ol."
"tip_mods","Artık oyuna mod yükleyebilirsin! Modlar sekmesine git ve seçtiğin Cataclysm sürümü için hangi modları indirebileceğini gör."
