"keys","tr"
,
"cbtn_debug_mode","Hata ayıklama modu"
"cbtn_enable_scale","Ölçeklendirmeyi etkinleştir"
"cbtn_keep_launcher_open","Oyun başladıktan sonra yükleyiciyi açık tut"
"cbtn_print_tips","Başlangıçta günün ipucunu göster"
"cbtn_shorten_release_names","Deneysel sürümlerin ismini kısalt"
"cbtn_always_show_installs","Her zaman yüklenenleri listele"
"cbtn_show_game_desc","Oyun açıklamasını göster"
"cbtn_show_obsolete_mods","Geçersiz modları yüklenmiş modlar içinde listele"
"cbtn_update_mods_with_game","Update mods when updating the game"
"cbtn_updating_to_same_build","İndirilmiş sürümle aynı olan sürüme "yükseltmeyi" etkinleştir"
"cbtn_keep_cache","İndirme önbelleğini tut"
"cbtn_ignore_cache","İndirme önbelleğini yoksay"
"cbtn_enable_proxy","Etkinleştir  "
"obtn_proxy_option_off", "Devre dışı"
"obtn_proxy_option_on", "Etkin"
"obtn_proxy_option_download", "Sadece indirme için"
"lbl_launcher_language","Yükleyici dili"
"lbl_launcher_theme","Yükleyici teması"
"lbl_num_prs_to_request","Değişiklik listesi için indiriecek sonuç sayısı"
"lbl_num_releases_to_request","Aratılacak sürüm sayısı"
"lbl_ui_scale_override","Özel arayüz ölçeği:"
"lbl_proxy_settings","Vekil sunucu:"
"tooltip_debug_mode","Test foksiyonlarına sahip hata ayıklama penceresini\nve durum paneline hata ayıklama mesajlarını\netkinleştirir (hata tanılamak için kullanışlı)."
"tooltip_keep_launcher_open","Kapatıldığında, yükleyici Oyna/Devam et tuşuna bastıktan sonra kapanır.\nEğer bir sebepten ötürü oyun açılmıyorsa yükleyici\nyine de kapanacaktır."
"tooltip_num_prs_to_request","Değişiklik listesini belirlemek için\nkaç pull request (kod eklemeleri) istenecek.\nYüksek sayılar yavaş isteklere ve hatalara sebep olabilir"
"tooltip_num_releases_to_request","Yükleyici açıldıktan sonra, oyunu seçerken\n ya da yenile tuşuna basarken\n GitHub tan kaç tane yeni sürüm istensin?"
"tooltip_print_tips","Başlangıçta günün ipucunu göster"
"tooltip_shorten_release_names","İsimleri sadece tarih ve numara olacak şekilde kısalt\n(ör. ""Cataclysm-DDA deneysel sürüm 2021-09-08-1927"" yerine\n""2021-09-08-1927"")."
"tooltip_always_show_installs","Tek bir oyun sürümü, hatta hiçbir\ntanesi olsa dahi yüklenen sürümleri göster."
"tooltip_show_game_desc","Oyun listesinin altında seçili oyunun açıklamasını göster."
"tooltip_update_mods_with_game","When updating the game, automatically reinstall any\ninstalled mods that have a newer version available."
"tooltip_show_obsolete_mods","Oyunla birlkte gelen, ama "geçersiz" olarak işaretlenen modları göster.\nNormalde, böyle modlar yüklenmiş olarak kabul edilmez.."
"tooltip_ui_scale_override","Otomatik olarak çıkarılan arayüz ölçeği sisteminizde\nçok büyük\veya çok küçük görünüyorsa bunu kullanın.\n(Otomatik ölçek,tüm sistemlerde çalışmayabilen veya\nçözünürlük çok düşük olduğunda yetersiz sonuçlar veren\nsistem tarafından bildirilen ekran DPI'sına dayanır.)"
"tooltip_updating_to_same_build","Seçili sürüm indirilen sürümle aynı olsa dahi güncelleme prosedürünü başlat."
"tooltip_keep_cache","İndirilen içerikleri (oyun sürümleri, mod paketleri, ses paketleri) yükleme tamamlandığında önbellek klasöründe tut, silmek yerine."
"tooltip_ignore_cache","İçerikler zaten önbellek klasöründe olsa dahi her zaman webden indir."
"tooltip_proxy_settings","İndirme için vekil sunucu yapılandır."
"tooltip_proxy_options","Devre dışı - Vekil kullanma\nEtkin - Her durumda vekil kullan (ör. sürüm istemek)\nSadece indirme için - Sadece indirme sırasında vekil kullan"

