"keys","ru"
,
"window_title","Dabdoob — лончер для Cataclysm: DDA и BN"
"str_welcome","Добро пожаловать в Dabdoob!"
"str_tip_of_the_day","\n\n[u]Совет дня:[/u]\n"
"str_donor_of_the_day","\n\n[color=#f5c842][b]— Message from a donor —[/b][/color]\n"
"msg_theme_load_error","Не удалось загрузить тему %s."
"debug_test","Это отладочный текст для проверки извлечения переводов."
,
"tag_warning","внимание"
"tag_error","ошибка"
"tag_debug","отладка"
,
"lbl_game","Игра:"
"desc_dda","[b]Cataclysm: Dark Days Ahead[/b] — это пошаговый симулятор выживания в пост-апокалипсисе. Находите или крафтите снаряжение, стройте базы, выращивайте еду, тюнингуйте транспорт, ставьте кибер-импланты, мутируйте, отбивайтесь от [color=#009900]зомби[/color] и кучи других монстров — и всё это в бесконечном, процедурно генерируемом мире!"
"desc_bn","[b]Cataclysm: Bright Nights[/b] — это форк, который возвращает игру к истокам и снова делает её sci-fi рогаликом, откатывая многие спорные нововведения, сделанные командой DDA (кармашки, умения, заморозку и [color=#3b93f7][url=https://docs.cataclysmbn.org/en/game/changelog/]многое другое[/url][/color]). Особое внимание уделяется боёвке, балансу и темпу игры, и конечно же [color=#ff3300]!!веселью!![/color]"
"desc_eod","[b]Cataclysm: Era of Decay[/b] — это форк DDA, ориентированный на предоставление игрокам возможности настроить самим как можно больше разных аспектов игры, при этом не удаляя полностью какие-либо возможности и системы из оригинальной игры и оставляя саму игру реалистичной при настройках по умолчанию. Веселитесь так, как хотите именно [color=#ff3300]вы[/color]."
"desc_tish","[b]Cataclysm: There Is Still Hope[/b] — это форк DDA, ориентированный прежде всего на создание игры, которая была бы интересной, отклоняя двойственности вроде ''реализм против веселья'' и ''правдоподобие против веселья''."
"desc_tlg","[b]Cataclysm: The Last Generation[/b] — это форк, ориентированный прежде всего на создание игры, которая была бы интересной, отклоняя двойственности вроде ''реализм против веселья'' и ''правдоподобие против веселья''."
,
"tab_game","Игра"
"tab_mods","Моды"
"tab_soundpacks","Звуки"
"tab_tilesets","Тайлсеты"
"tab_fonts","Шрифты"
"tab_backups","Бэкапы"
"tab_settings","Настройки"
"tab_about","О программе"
"about_app_title","Dabdoob - Лаунчер Cataclysm"
"about_app_desc","Dabdoob — это лаунчер, который продолжает разработку теперь заброшенного лаунчера Catapult. Он разрабатывается и поддерживается одним человеком. Вы можете найти меня в Discord и Github по ссылкам ниже.

Если вы цените работу создателей Cataclysm и его модов/тайлсетов/звуковых пакетов, не забудьте посетить их, и если вы цените мою работу, рассмотрите возможность пожертвования по ссылке ниже!"
"about_links","Ссылки"
"thank_you_title","Спасибо за загрузку Dabdoob!"
"thank_you_message","Спасибо за установку Dabdoob! Надеюсь, вам понравится.

Это может быть не актуально для вас сейчас, но если вы чувствуете себя подавленным, встревоженным или неуверенным в себе, пожалуйста, обратитесь к близкому человеку, другу или тому, кому доверяете.
Это не делает вас обузой.
То, как вы себя чувствуете, не окончательно, и все станет лучше.

Желаю вам приятного дня и надеюсь, что вам понравится мой лаунчер."
"msg_extract_create_dir_failed","Не удалось создать каталог извлечения %s (ошибка: %s)"
"msg_extract_tool_not_found","Инструмент извлечения не найден: %s"
"msg_dmg_only_macos","Файлы DMG можно извлечь только в macOS"
"msg_mounting_dmg","Монтирование файла DMG: %s"
"msg_dmg_mount_failed","Не удалось смонтировать файл DMG (ошибка: %s)"
"msg_dmg_mount_point_failed","Не удалось разобрать точку монтирования DMG"
"msg_copying_dmg_contents","Копирование содержимого из: %s"
"msg_unmounting_dmg","Отмонтирование файла DMG"
"msg_dmg_unmount_warning","Предупреждение: Не удалось отмонтировать DMG (ошибка: %s)"
"msg_no_executable_found_macos","В каталоге игры не найден исполняемый файл"
"msg_fixing_executable_permissions","Исправление прав на выполнение для: %s"
"msg_chmod_failed","Не удалось установить права на выполнение для %s (ошибка: %s)"
"msg_setting_working_dir","Установка рабочего каталога: %s"
"msg_starting_macos_bundle","Запуск пакета приложения macOS: %s"
